sgRNA	gene	Lib_isg_ctrl	Lib_isg_sort
brunello_AEN_2	AEN	3370	2884
brunello_AEN_3	AEN	5787	5457
brunello_AEN_4	AEN	1402	1360
brunello_AGPAT9_1	AGPAT9	2759	3014
brunello_AGPAT9_2	AGPAT9	5874	6000
brunello_AGPAT9_3	AGPAT9	2401	3605
brunello_AGPAT9_4	AGPAT9	5557	4886
brunello_AGRN_1	AGRN	3887	3535
brunello_AGRN_2	AGRN	3691	3590
brunello_AGRN_3	AGRN	3499	2136
brunello_AGRN_4	AGRN	4526	4392
brunello_AGT_1	AGT	2863	3280
brunello_AGT_2	AGT	3066	2615
brunello_AGT_3	AGT	2160	2789
brunello_AGT_4	AGT	6102	9059
brunello_AGXT_1	AGXT	2916	2062
brunello_AGXT_2	AGXT	5662	5379
brunello_AGXT_3	AGXT	3208	3678
brunello_AGXT_4	AGXT	3827	5020
brunello_AHNAK2_1	AHNAK2	5412	4363
brunello_AHNAK2_2	AHNAK2	1036	733
brunello_AHNAK2_3	AHNAK2	3224	2229
brunello_AHNAK2_4	AHNAK2	3851	3073
brunello_AHRR_1	AHRR	2666	1342
brunello_AHRR_2	AHRR	3862	3249
brunello_AHRR_3	AHRR	3095	3659
brunello_AHRR_4	AHRR	3324	2137
brunello_AIDA_1	AIDA	4182	2975
brunello_AIDA_2	AIDA	2623	3145
brunello_AIDA_3	AIDA	1932	1300
brunello_AIDA_4	AIDA	1591	1206
brunello_AIM1_1	AIM1	4508	3231
brunello_AIM1_2	AIM1	2342	2530
brunello_AIM1_3	AIM1	3333	2487
brunello_AIM1_4	AIM1	4123	2872
brunello_AIM2_1	AIM2	4649	3846
brunello_AIM2_2	AIM2	2451	2101
brunello_AIM2_3	AIM2	2070	1062
brunello_AIM2_4	AIM2	4303	3229
brunello_AK4_1	AK4	5045	5692
brunello_AK4_2	AK4	2149	1386
brunello_AK4_3	AK4	2570	5104
brunello_AK4_4	AK4	2509	2556
brunello_AKAP12_1	AKAP12	5402	4817
brunello_AKAP12_2	AKAP12	2895	2455
brunello_AKAP12_3	AKAP12	4775	4571
brunello_AKAP12_4	AKAP12	3857	2822
brunello_AKAP2_1	AKAP2	4021	4023
brunello_AKAP2_2	AKAP2	3550	2934
brunello_AKAP2_3	AKAP2	4880	5354
brunello_AKAP2_4	AKAP2	1809	1063
brunello_AKAP3_1	AKAP3	3952	2520
brunello_AKAP3_2	AKAP3	7520	6527
brunello_AKAP3_3	AKAP3	2826	2766
brunello_AKAP3_4	AKAP3	5883	6058
brunello_AKAP7_1	AKAP7	5788	6452
brunello_AKAP7_2	AKAP7	3862	5416
brunello_AKAP7_3	AKAP7	1322	2182
brunello_AKAP7_4	AKAP7	1213	1965
brunello_AKAP8_1	AKAP8	2231	2263
brunello_AKAP8_2	AKAP8	3813	2942
brunello_AKAP8_3	AKAP8	2329	2789
brunello_AKAP8_4	AKAP8	5456	5370
brunello_AKT1S1_1	AKT1S1	3185	3979
brunello_AKT1S1_2	AKT1S1	3641	3272
brunello_AKT1S1_3	AKT1S1	5202	3116
brunello_AKT1S1_4	AKT1S1	2192	1341
brunello_AKT3_1	AKT3	7594	6137
brunello_AKT3_2	AKT3	3237	3410
brunello_AKT3_3	AKT3	2463	1895
brunello_AKT3_4	AKT3	3749	3556
brunello_ALAS1_1	ALAS1	1300	1359
brunello_ALAS1_2	ALAS1	4851	3758
brunello_ALAS1_3	ALAS1	2732	3600
brunello_ALAS1_4	ALAS1	1564	1405
brunello_ALCAM_1	ALCAM	6475	5708
brunello_ALCAM_2	ALCAM	7757	6337
brunello_ALCAM_3	ALCAM	5618	5040
brunello_ALCAM_4	ALCAM	2247	1567
brunello_ALDH1A1_1	ALDH1A1	4961	5106
brunello_ALDH1A1_2	ALDH1A1	3298	3975
brunello_ALDH1A1_3	ALDH1A1	5199	4308
brunello_ALDH1A1_4	ALDH1A1	5943	7185
brunello_ALDH1A2_1	ALDH1A2	1531	1708
