sgRNA	gene	Lib_isg_ctrl	Lib_isg_sort
brunello_DEFB1_4	DEFB1	5352	8654
brunello_DENND1B_1	DENND1B	6373	6313
brunello_DENND1B_2	DENND1B	2480	1971
brunello_DENND1B_3	DENND1B	1626	979
brunello_DENND1B_4	DENND1B	5020	5905
brunello_DFNB31_1	DFNB31	2252	1967
brunello_DFNB31_2	DFNB31	2180	1745
brunello_DFNB31_3	DFNB31	2092	2353
brunello_DFNB31_4	DFNB31	3376	3607
brunello_DHDH_1	DHDH	3583	3418
brunello_DHDH_2	DHDH	2597	3088
brunello_DHDH_3	DHDH	7406	6218
brunello_DHDH_4	DHDH	784	474
brunello_DHFRL1_1	DHFRL1	1707	1685
brunello_DHFRL1_2	DHFRL1	1336	1071
brunello_DHFRL1_3	DHFRL1	1822	2017
brunello_DHFRL1_4	DHFRL1	2092	1843
brunello_DHRS9_1	DHRS9	6315	5570
brunello_DHRS9_2	DHRS9	4201	1971
brunello_DHRS9_3	DHRS9	6799	6027
brunello_DHRS9_4	DHRS9	4175	4514
brunello_DHX58_1	DHX58	4850	4839
brunello_DHX58_2	DHX58	4154	2892
brunello_DHX58_3	DHX58	1533	1193
brunello_DHX58_4	DHX58	1715	2104
brunello_DKK3_1	DKK3	3693	2545
brunello_DKK3_2	DKK3	5146	4496
brunello_DKK3_3	DKK3	4942	7867
brunello_DKK3_4	DKK3	5122	6629
brunello_DLL1_1	DLL1	3699	2543
brunello_DLL1_2	DLL1	1259	1507
brunello_DLL1_3	DLL1	2350	1935
brunello_DLL1_4	DLL1	3697	3090
brunello_DMD_1	DMD	6628	5922
brunello_DMD_2	DMD	4438	6305
brunello_DMD_3	DMD	4151	4301
brunello_DMD_4	DMD	4564	4237
brunello_DMXL2_1	DMXL2	3174	4253
brunello_DMXL2_2	DMXL2	4261	3457
brunello_DMXL2_3	DMXL2	1280	1729
brunello_DMXL2_4	DMXL2	3011	2449
brunello_DNAAF1_1	DNAAF1	3900	3226
brunello_DNAAF1_2	DNAAF1	3929	2919
brunello_DNAAF1_3	DNAAF1	7621	5137
brunello_DNAAF1_4	DNAAF1	5064	4379
brunello_DNAH12_1	DNAH12	4216	4061
brunello_DNAH12_2	DNAH12	5857	3532
brunello_DNAH12_3	DNAH12	5865	5216
brunello_DNAH12_4	DNAH12	3323	2981
brunello_DNAJB4_1	DNAJB4	3271	2794
brunello_DNAJB4_2	DNAJB4	2857	2494
brunello_DNAJB4_3	DNAJB4	5505	3782
brunello_DNAJB4_4	DNAJB4	4047	3513
brunello_DNAJB5_1	DNAJB5	4943	5505
brunello_DNAJB5_2	DNAJB5	3131	2598
brunello_DNAJB5_3	DNAJB5	849	867
brunello_DNAJB5_4	DNAJB5	3331	3340
brunello_DNAJC1_1	DNAJC1	3950	4549
brunello_DNAJC1_2	DNAJC1	5291	5106
brunello_DNAJC1_3	DNAJC1	5587	6469
brunello_DNAJC1_4	DNAJC1	2264	2947
brunello_DNAJC28_1	DNAJC28	3011	2827
brunello_DNAJC28_2	DNAJC28	2784	2363
brunello_DNAJC28_3	DNAJC28	1467	2307
brunello_DNAJC28_4	DNAJC28	6897	5956
brunello_DNASE1L2_1	DNASE1L2	4608	4758
brunello_DNASE1L2_2	DNASE1L2	931	834
brunello_DNASE1L2_3	DNASE1L2	7282	10973
brunello_DNASE1L2_4	DNASE1L2	8751	7095
brunello_DOCK4_1	DOCK4	1655	1782
brunello_DOCK4_2	DOCK4	2955	4573
brunello_DOCK4_3	DOCK4	4000	3381
brunello_DOCK4_4	DOCK4	2222	2661
brunello_DPCD_1	DPCD	3253	4377
brunello_DPCD_2	DPCD	5026	4073
brunello_DPCD_3	DPCD	6253	5581
brunello_DPCD_4	DPCD	3675	4634
brunello_DPYS_1	DPYS	1479	2413
brunello_DPYS_2	DPYS	4982	3664
brunello_DPYS_3	DPYS	1126	617
brunello_DPYS_4	DPYS	2134	2512
brunello_DPYSL3_1	DPYSL3	327	340
brunello_DPYSL3_2	DPYSL3	2192	2501
brunello_DPYSL3_3	DPYSL3	2941	2267
brunello_DPYSL3_4	DPYSL3	3235	3100
brunello_DRAM1_1	DRAM1	2661	3866
brunello_DRAM1_2	DRAM1	2735	1854
brunello_DRAM1_3	DRAM1	1093	1328
brunello_DRAM1_4	DRAM1	4316	3996
brunello_DRAP1_1	DRAP1	2733	2828
brunello_DRAP1_2	DRAP1	2728	1899
brunello_DRAP1_3	DRAP1	1402	1221
brunello_DRAP1_4	DRAP1	2316	1581
brunello_DSE_1	DSE	4677	4908
brunello_DSE_2	DSE	3501	3981
brunello_DSE_3	DSE	3188	3222
brunello_DSE_4	DSE	2616	2241
brunello_DSG2_1	DSG2	4036	3344
brunello_DSG2_2	DSG2	2026	2955
brunello_DSG2_3	DSG2	1778	2259
brunello_DSG2_4	DSG2	5261	5302
brunello_DSP_1	DSP	4075	2707
brunello_DSP_2	DSP	5292	4548
brunello_DSP_3	DSP	4320	3693
brunello_DSP_4	DSP	4845	6253
brunello_DTX3L_1	DTX3L	3844	4042
brunello_DTX3L_2	DTX3L	9917	11440
brunello_DTX3L_3	DTX3L	8275	8832
brunello_DTX3L_4	DTX3L	1919	1202
brunello_DUOX2_1	DUOX2	6139	5963
brunello_DUOX2_2	DUOX2	4235	5282
brunello_DUOX2_3	DUOX2	3422	4454
brunello_DUOX2_4	DUOX2	4794	6049
brunello_DUOXA2_1	DUOXA2	3048	1799
brunello_DUOXA2_2	DUOXA2	7765	7862
brunello_DUOXA2_3	DUOXA2	3813	4947
brunello_DUOXA2_4	DUOXA2	5589	4645
brunello_DUSP16_1	DUSP16	6001	7565
brunello_DUSP16_2	DUSP16	3341	2825
brunello_DUSP16_3	DUSP16	3439	4173
brunello_DUSP16_4	DUSP16	2928	5032
brunello_DUSP19_1	DUSP19	4837	5347
brunello_DUSP19_2	DUSP19	6477	5302
brunello_DUSP19_3	DUSP19	2898	3048
brunello_DUSP19_4	DUSP19	553	739
brunello_DUSP2_1	DUSP2	3628	3138
brunello_DUSP2_2	DUSP2	8503	8220
brunello_DUSP2_3	DUSP2	2218	2242
brunello_DUSP2_4	DUSP2	4822	5335
brunello_DUSP28_1	DUSP28	6896	5772
brunello_DUSP28_2	DUSP28	4560	4090
brunello_DUSP28_3	DUSP28	1993	1958
brunello_DUSP28_4	DUSP28	4061	3130
brunello_DUSP5_1	DUSP5	6937	5568
brunello_DUSP5_2	DUSP5	6589	6226
brunello_DUSP5_3	DUSP5	3303	2415
brunello_DUSP5_4	DUSP5	4472	4418
brunello_DYNLL1_1	DYNLL1	7513	9207
brunello_DYNLL1_2	DYNLL1	882	744
brunello_DYNLL1_3	DYNLL1	1148	841
brunello_DYNLL1_4	DYNLL1	2017	2449
brunello_DYNLT1_1	DYNLT1	2372	2934
brunello_DYNLT1_2	DYNLT1	3183	4713
brunello_DYNLT1_3	DYNLT1	3897	4752
brunello_DYNLT1_4	DYNLT1	1210	1341
brunello_DYSF_1	DYSF	846	1392
brunello_DYSF_2	DYSF	2074	2376
brunello_DYSF_3	DYSF	1777	2154
brunello_DYSF_4	DYSF	3655	3975
brunello_DZIP1L_1	DZIP1L	4993	4056
brunello_DZIP1L_2	DZIP1L	3972	3751
brunello_DZIP1L_3	DZIP1L	4804	5782
brunello_DZIP1L_4	DZIP1L	5599	6175
brunello_EBI3_1	EBI3	3907	4239
brunello_EBI3_2	EBI3	5049	3563
brunello_EBI3_3	EBI3	4667	4172
brunello_EBI3_4	EBI3	3687	2731
brunello_ECEL1_1	ECEL1	607	1251
brunello_ECEL1_2	ECEL1	4101	4752
brunello_ECEL1_3	ECEL1	4658	3790
brunello_ECEL1_4	ECEL1	6714	6924
brunello_EDEM1_1	EDEM1	2819	3025
brunello_EDEM1_2	EDEM1	4436	5479
brunello_EDEM1_3	EDEM1	6273	6823
brunello_EDEM1_4	EDEM1	2335	1702
brunello_EDN1_1	EDN1	964	933
brunello_EDN1_2	EDN1	5071	5080
brunello_EDN1_3	EDN1	4943	5174
brunello_EDN1_4	EDN1	1710	1665
brunello_EDNRB_1	EDNRB	4776	5383
brunello_EDNRB_2	EDNRB	4711	4321
brunello_EDNRB_3	EDNRB	2334	3215
brunello_EDNRB_4	EDNRB	5227	5419
brunello_EFR3A_1	EFR3A	2992	2715
brunello_EFR3A_2	EFR3A	2351	3315
brunello_EFR3A_3	EFR3A	2686	1734
brunello_EFR3A_4	EFR3A	2979	3206
brunello_EGR1_1	EGR1	5217	5184
brunello_EGR1_2	EGR1	4261	3605
brunello_EGR1_3	EGR1	1946	1420
brunello_EGR1_4	EGR1	3710	3160
brunello_EGR2_1	EGR2	2868	2318
brunello_EGR2_2	EGR2	4268	3897
brunello_EGR2_3	EGR2	4355	3913
brunello_EGR2_4	EGR2	2048	2879
brunello_EHD4_1	EHD4	3563	2756
brunello_EHD4_2	EHD4	5974	6097
brunello_EHD4_3	EHD4	7921	8992
brunello_EHD4_4	EHD4	3251	5254
brunello_EHF_1	EHF	3421	3947
brunello_EHF_2	EHF	4692	5116
brunello_EHF_3	EHF	5387	5608
brunello_EHF_4	EHF	1598	982
brunello_EIF2AK2_1	EIF2AK2	3326	4395
brunello_EIF2AK2_2	EIF2AK2	1338	824
brunello_EIF2AK2_3	EIF2AK2	1314	1702
brunello_EIF2AK2_4	EIF2AK2	4751	5245
brunello_EIF3L_1	EIF3L	3144	3855
brunello_EIF3L_2	EIF3L	2373	2281
brunello_EIF3L_3	EIF3L	2135	1385
brunello_EIF3L_4	EIF3L	5095	4941
brunello_ELAVL4_1	ELAVL4	4877	4620
brunello_ELAVL4_2	ELAVL4	6354	6345
brunello_ELAVL4_3	ELAVL4	3264	2067
brunello_ELAVL4_4	ELAVL4	7228	4507
brunello_ELF1_1	ELF1	2065	2366
brunello_ELF1_2	ELF1	3446	3565
brunello_ELF1_3	ELF1	6525	8415
brunello_ELF1_4	ELF1	4412	5181
brunello_ELFN1_1	ELFN1	3787	4315
brunello_ELFN1_2	ELFN1	2855	2666
brunello_ELFN1_3	ELFN1	5330	4091
brunello_ELFN1_4	ELFN1	3915	3596
brunello_ELL3_1	ELL3	4886	5008
brunello_ELL3_2	ELL3	2353	2557
brunello_ELL3_3	ELL3	5286	4894
brunello_ELL3_4	ELL3	3076	4492
brunello_ELOVL7_1	ELOVL7	3523	3412
brunello_ELOVL7_2	ELOVL7	3274	3259
brunello_ELOVL7_3	ELOVL7	2597	3014
brunello_ELOVL7_4	ELOVL7	1173	681
brunello_EML1_1	EML1	4037	3315
brunello_EML1_2	EML1	2921	2069
brunello_EML1_3	EML1	1107	2078
brunello_EML1_4	EML1	4297	4010
brunello_EML4_1	EML4	1722	1581
brunello_EML4_2	EML4	1900	1818
brunello_EML4_3	EML4	4030	3776
brunello_EML4_4	EML4	5383	5176
brunello_EMP1_1	EMP1	3241	2459
brunello_EMP1_2	EMP1	7056	6978
brunello_EMP1_3	EMP1	2547	1364
brunello_EMP1_4	EMP1	4295	2757
brunello_ENDOD1_1	ENDOD1	6572	4426
brunello_ENDOD1_2	ENDOD1	3391	3303
brunello_ENDOD1_3	ENDOD1	1860	2342
brunello_ENDOD1_4	ENDOD1	7358	8077
brunello_ENG_1	ENG	4986	3864
brunello_ENG_2	ENG	4415	4879
brunello_ENG_3	ENG	3803	2802
brunello_ENG_4	ENG	3491	3309
brunello_ENPP1_1	ENPP1	4434	3457
brunello_ENPP1_2	ENPP1	2168	1393
brunello_ENPP1_3	ENPP1	1417	2977
brunello_ENPP1_4	ENPP1	5205	5538
brunello_ENPP2_1	ENPP2	3730	3464
brunello_ENPP2_2	ENPP2	4265	5450
brunello_ENPP2_3	ENPP2	1210	1317
brunello_ENPP2_4	ENPP2	2964	3090
brunello_ENTPD7_1	ENTPD7	8465	7150
brunello_ENTPD7_2	ENTPD7	2369	2867
brunello_ENTPD7_3	ENTPD7	2110	2916
brunello_ENTPD7_4	ENTPD7	6040	5278
brunello_EOMES_1	EOMES	3583	3585
brunello_EOMES_2	EOMES	2657	3138
brunello_EOMES_3	EOMES	2805	2925
brunello_EOMES_4	EOMES	2276	1751
brunello_EPAS1_1	EPAS1	1684	2138
brunello_EPAS1_2	EPAS1	5021	3084
brunello_EPAS1_3	EPAS1	2391	2454
brunello_EPAS1_4	EPAS1	667	498
brunello_EPB41L3_1	EPB41L3	2677	2344
brunello_EPB41L3_2	EPB41L3	2459	1608
brunello_EPB41L3_3	EPB41L3	1744	2470
brunello_EPB41L3_4	EPB41L3	4945	6478
brunello_EPC1_1	EPC1	7767	7861
brunello_EPC1_2	EPC1	3841	3450
brunello_EPC1_3	EPC1	2289	1903
brunello_EPC1_4	EPC1	1174	1397
brunello_EPHB2_1	EPHB2	5744	4331
brunello_EPHB2_2	EPHB2	4198	5785
brunello_EPHB2_3	EPHB2	3495	3380
brunello_EPHB2_4	EPHB2	5292	4763
brunello_EPSTI1_1	EPSTI1	3877	5412
brunello_EPSTI1_2	EPSTI1	3143	3682
brunello_EPSTI1_3	EPSTI1	1362	856
brunello_EPSTI1_4	EPSTI1	1942	1432
brunello_ERAP2_1	ERAP2	6759	5418
brunello_ERAP2_2	ERAP2	3353	1530
brunello_ERAP2_3	ERAP2	3054	3578
brunello_ERAP2_4	ERAP2	4048	2227
brunello_EREG_1	EREG	6711	6709
brunello_EREG_2	EREG	3581	3006
brunello_EREG_3	EREG	3727	5871
brunello_EREG_4	EREG	4305	5417
brunello_ERI2_1	ERI2	770	1635
brunello_ERI2_2	ERI2	3516	3358
brunello_ERI2_3	ERI2	684	849
brunello_ERI2_4	ERI2	2781	2394
brunello_ERLEC1_1	ERLEC1	628	1112
brunello_ERLEC1_2	ERLEC1	4474	6142
brunello_ERLEC1_3	ERLEC1	4755	4827
brunello_ERLEC1_4	ERLEC1	1697	1678
brunello_ERLIN1_1	ERLIN1	3260	3480
brunello_ERLIN1_2	ERLIN1	5385	3252
brunello_ERLIN1_3	ERLIN1	4716	6523
brunello_ERLIN1_4	ERLIN1	3591	3128
brunello_ESM1_1	ESM1	4600	4892
brunello_ESM1_2	ESM1	2942	3121
brunello_ESM1_3	ESM1	1810	1629
brunello_ESM1_4	ESM1	3384	4173
brunello_ESPL1_1	ESPL1	2618	1404
brunello_ESPL1_2	ESPL1	5019	3559
brunello_ESPL1_3	ESPL1	728	1155
brunello_ESPL1_4	ESPL1	1493	1254
brunello_ESR1_1	ESR1	3037	2018
brunello_ESR1_2	ESR1	4992	3245
brunello_ESR1_3	ESR1	6866	6519
brunello_ESR1_4	ESR1	5999	5623
brunello_ESR2_1	ESR2	9228	6975
brunello_ESR2_2	ESR2	6584	5626
brunello_ESR2_3	ESR2	3815	2836
brunello_ESR2_4	ESR2	4377	3731
brunello_ETNK1_1	ETNK1	3139	3701
brunello_ETNK1_2	ETNK1	436	369
brunello_ETNK1_3	ETNK1	6668	5941
brunello_ETNK1_4	ETNK1	1552	1696
brunello_ETV3_1	ETV3	2387	2658
brunello_ETV3_2	ETV3	3183	2669
brunello_ETV3_3	ETV3	2889	2764
brunello_ETV3_4	ETV3	3215	2690
brunello_ETV6_1	ETV6	98	252
brunello_ETV6_2	ETV6	2188	1045
brunello_ETV6_3	ETV6	3708	2640
brunello_ETV6_4	ETV6	2606	3287
brunello_ETV7_1	ETV7	3411	3241
brunello_ETV7_2	ETV7	4290	4488
brunello_ETV7_3	ETV7	4414	4686
brunello_ETV7_4	ETV7	5890	5507
brunello_EXOC3L1_1	EXOC3L1	5133	6322
brunello_EXOC3L1_2	EXOC3L1	3177	2321
brunello_EXOC3L1_3	EXOC3L1	5797	5242
brunello_EXOC3L1_4	EXOC3L1	3292	3976
brunello_EXOC4_1	EXOC4	1427	860
brunello_EXOC4_2	EXOC4	1487	1211
brunello_EXOC4_3	EXOC4	535	213
brunello_EXOC4_4	EXOC4	1922	2409
brunello_EXOSC9_1	EXOSC9	104	109
brunello_EXOSC9_2	EXOSC9	1581	1734
brunello_EXOSC9_3	EXOSC9	1380	2039
brunello_EXOSC9_4	EXOSC9	1147	1261
brunello_EXT1_1	EXT1	1972	2020
brunello_EXT1_2	EXT1	2888	2722
brunello_EXT1_3	EXT1	837	790
brunello_EXT1_4	EXT1	1237	2098
brunello_F2RL2_1	F2RL2	5561	5183
brunello_F2RL2_2	F2RL2	3790	3200
brunello_F2RL2_3	F2RL2	3577	4169
brunello_F2RL2_4	F2RL2	3654	3628
brunello_FABP3_1	FABP3	5136	5595
brunello_FABP3_2	FABP3	2227	2729
brunello_FABP3_3	FABP3	9775	8639
brunello_FABP3_4	FABP3	4940	4782
brunello_FABP5_1	FABP5	3431	4067
brunello_FABP5_2	FABP5	4202	3963
brunello_FABP5_3	FABP5	1678	1626
brunello_FABP5_4	FABP5	4347	3798
brunello_FAM129A_1	FAM129A	3667	5361
brunello_FAM129A_2	FAM129A	2454	1544
brunello_FAM129A_3	FAM129A	3074	3746
brunello_FAM129A_4	FAM129A	1977	1764
brunello_FAM134B_1	FAM134B	1844	1990
brunello_FAM134B_2	FAM134B	6474	5860
brunello_FAM134B_3	FAM134B	3964	2856
brunello_FAM134B_4	FAM134B	3887	6559
brunello_FAM135B_1	FAM135B	5898	8507
brunello_FAM135B_2	FAM135B	2453	2646
brunello_FAM135B_3	FAM135B	3519	3239
brunello_FAM135B_4	FAM135B	2120	1083
brunello_FAM170B_1	FAM170B	2148	2617
brunello_FAM170B_2	FAM170B	2437	1936
brunello_FAM170B_3	FAM170B	5972	5906
brunello_FAM170B_4	FAM170B	1744	1812
brunello_FAM184A_1	FAM184A	2767	2292
brunello_FAM184A_2	FAM184A	3438	2104
brunello_FAM184A_3	FAM184A	3695	3944
brunello_FAM184A_4	FAM184A	4814	5357
brunello_FAM186B_1	FAM186B	3295	4749
brunello_FAM186B_2	FAM186B	3280	3599
brunello_FAM186B_3	FAM186B	4107	5300
brunello_FAM186B_4	FAM186B	1887	2582
brunello_FAM19A2_1	FAM19A2	3955	3923
brunello_FAM19A2_2	FAM19A2	3164	2680
brunello_FAM19A2_3	FAM19A2	8074	5935
brunello_FAM19A2_4	FAM19A2	2891	2140
brunello_FAM19A3_1	FAM19A3	4507	5022
brunello_FAM19A3_2	FAM19A3	1410	1135
brunello_FAM19A3_3	FAM19A3	2204	2481
brunello_FAM19A3_4	FAM19A3	4268	4890
brunello_FAM200A_1	FAM200A	1447	1236
brunello_FAM200A_2	FAM200A	3794	4073
brunello_FAM200A_3	FAM200A	1856	1849
brunello_FAM200A_4	FAM200A	4583	4594
brunello_FAM20A_1	FAM20A	3443	3006
brunello_FAM20A_2	FAM20A	8432	10236
brunello_FAM20A_3	FAM20A	2811	1169
brunello_FAM20A_4	FAM20A	4345	3307
brunello_FAM20C_1	FAM20C	6505	5675
brunello_FAM20C_2	FAM20C	2206	2475
brunello_FAM20C_3	FAM20C	6138	6200
brunello_FAM20C_4	FAM20C	1498	930
brunello_FAM26F_1	FAM26F	5555	6088
brunello_FAM26F_2	FAM26F	6231	5090
brunello_FAM26F_3	FAM26F	5603	5323
brunello_FAM26F_4	FAM26F	4467	3347
brunello_FAM3B_1	FAM3B	4696	5514
brunello_FAM3B_2	FAM3B	1146	1360
brunello_FAM3B_3	FAM3B	2722	1949
brunello_FAM3B_4	FAM3B	7393	9197
brunello_FAM46A_1	FAM46A	1264	1779
brunello_FAM46A_2	FAM46A	2747	1906
brunello_FAM46A_3	FAM46A	6969	5953
brunello_FAM46A_4	FAM46A	1559	2504
brunello_FAM46B_1	FAM46B	4684	5182
brunello_FAM46B_2	FAM46B	2341	1548
brunello_FAM46B_3	FAM46B	3317	3775
brunello_FAM46B_4	FAM46B	3911	3497
brunello_FAM46C_1	FAM46C	4480	1657
brunello_FAM46C_2	FAM46C	3849	3634
brunello_FAM46C_3	FAM46C	3235	3554
brunello_FAM46C_4	FAM46C	1642	1324
brunello_FAM47E-STBD1_1	FAM47E-STBD1	7143	5863
brunello_FAM47E-STBD1_2	FAM47E-STBD1	3560	3507
brunello_FAM47E-STBD1_3	FAM47E-STBD1	5298	4690
brunello_FAM47E-STBD1_4	FAM47E-STBD1	1444	2282
brunello_FAM53A_1	FAM53A	3610	3894
brunello_FAM53A_2	FAM53A	2158	3295
brunello_FAM53A_3	FAM53A	4877	4390
brunello_FAM53A_4	FAM53A	4006	3964
brunello_FAM71A_1	FAM71A	2343	1907
brunello_FAM71A_2	FAM71A	6453	7085
brunello_FAM71A_3	FAM71A	897	721
brunello_FAM71A_4	FAM71A	5305	6649
brunello_FAM72A_1	FAM72A	2945	2711
brunello_FAM72A_2	FAM72A	1785	1550
brunello_FAM72A_3	FAM72A	1673	1195
brunello_FAM72A_4	FAM72A	5960	4730
brunello_FAM83G_1	FAM83G	1894	1553
brunello_FAM83G_2	FAM83G	3287	2665
brunello_FAM83G_3	FAM83G	5091	4588
brunello_FAM83G_4	FAM83G	5079	5814
brunello_FAM84B_1	FAM84B	7250	9541
brunello_FAM84B_2	FAM84B	6309	7602
brunello_FAM84B_3	FAM84B	8078	7456
brunello_FAM84B_4	FAM84B	5470	6709
brunello_FAM8A1_1	FAM8A1	3400	3259
brunello_FAM8A1_2	FAM8A1	5147	5145
brunello_FAM8A1_3	FAM8A1	1479	1474
brunello_FAM8A1_4	FAM8A1	2028	2364
brunello_FAM90A1_1	FAM90A1	2238	3652
brunello_FAM90A1_2	FAM90A1	494	988
brunello_FAM90A1_3	FAM90A1	5042	5196
brunello_FAM90A1_4	FAM90A1	5860	5785
brunello_FAR1_1	FAR1	2670	2408
brunello_FAR1_2	FAR1	1335	1092
brunello_FAR1_3	FAR1	1547	150
brunello_FAR1_4	FAR1	2461	1818
brunello_FAS_1	FAS	2830	1995
brunello_FAS_2	FAS	4465	5151
brunello_FAS_3	FAS	3102	2816
brunello_FAS_4	FAS	2163	1241
brunello_FASLG_1	FASLG	1832	2952
brunello_FASLG_2	FASLG	1120	901
brunello_FASLG_3	FASLG	1710	995
brunello_FASLG_4	FASLG	2503	1580
brunello_FBXO39_1	FBXO39	2806	2380
brunello_FBXO39_2	FBXO39	4295	4506
brunello_FBXO39_3	FBXO39	2498	2321
brunello_FBXO39_4	FBXO39	3019	2524
brunello_FBXO6_1	FBXO6	965	652
brunello_FBXO6_2	FBXO6	4778	4484
brunello_FBXO6_3	FBXO6	1758	1954
brunello_FBXO6_4	FBXO6	2329	1843
brunello_FCGR1A_1	FCGR1A	2282	3433
brunello_FCGR1A_2	FCGR1A	2041	2900
brunello_FCGR1A_3	FCGR1A	0	0
brunello_FCGR1A_4	FCGR1A	1764	1066
brunello_FCGR1B_1	FCGR1B	4214	1825
brunello_FCGR1B_2	FCGR1B	1002	975
brunello_FCGR1B_3	FCGR1B	4343	3951
brunello_FCGR1B_4	FCGR1B	905	593
brunello_FCGR2A_1	FCGR2A	2775	2705
brunello_FCGR2A_2	FCGR2A	2312	2247
brunello_FCGR2A_3	FCGR2A	6584	7907
brunello_FCGR2A_4	FCGR2A	1999	1778
brunello_FCGR3A_1	FCGR3A	4207	4817
brunello_FCGR3A_2	FCGR3A	1910	3233
brunello_FCGR3A_3	FCGR3A	3055	2848
brunello_FCGR3A_4	FCGR3A	3355	3335
brunello_FCGR3B_1	FCGR3B	5792	6688
brunello_FCGR3B_2	FCGR3B	2617	2747
brunello_FCGR3B_3	FCGR3B	10928	12343
brunello_FCGR3B_4	FCGR3B	1339	928
brunello_FCRL4_1	FCRL4	1024	718
brunello_FCRL4_2	FCRL4	6771	6532
brunello_FCRL4_3	FCRL4	7595	6683
brunello_FCRL4_4	FCRL4	4052	3715
brunello_FEZ1_1	FEZ1	2704	2743
brunello_FEZ1_2	FEZ1	2489	1700
brunello_FEZ1_3	FEZ1	4905	4011
brunello_FEZ1_4	FEZ1	2073	1232
brunello_FFAR2_1	FFAR2	1703	1649
brunello_FFAR2_2	FFAR2	2276	2724
brunello_FFAR2_3	FFAR2	4275	3140
brunello_FFAR2_4	FFAR2	1967	2555
brunello_FFAR3_1	FFAR3	1851	2629
brunello_FFAR3_2	FFAR3	769	1086
brunello_FFAR3_3	FFAR3	2288	2166
brunello_FFAR3_4	FFAR3	2435	3093
brunello_FGD2_1	FGD2	3215	2226
brunello_FGD2_2	FGD2	4901	3978
brunello_FGD2_3	FGD2	2326	1728
brunello_FGD2_4	FGD2	5328	4918
brunello_FGL2_1	FGL2	1701	2648
brunello_FGL2_2	FGL2	2919	2100
brunello_FGL2_3	FGL2	3449	1885
brunello_FGL2_4	FGL2	1809	1759
brunello_FICD_1	FICD	1355	1605
brunello_FICD_2	FICD	4869	5389
brunello_FICD_3	FICD	5578	5052
brunello_FICD_4	FICD	7442	8061
brunello_FILIP1L_1	FILIP1L	1567	2823
brunello_FILIP1L_2	FILIP1L	2814	1336
brunello_FILIP1L_3	FILIP1L	2571	4738
brunello_FILIP1L_4	FILIP1L	4860	3682
brunello_FITM1_1	FITM1	1144	641
brunello_FITM1_2	FITM1	5369	6549
brunello_FITM1_3	FITM1	4108	2629
brunello_FITM1_4	FITM1	1019	3111
brunello_FKBP1B_1	FKBP1B	6986	7135
brunello_FKBP1B_2	FKBP1B	2137	1914
brunello_FKBP1B_3	FKBP1B	4715	3236
brunello_FKBP1B_4	FKBP1B	5335	4676
brunello_FKBP5_1	FKBP5	759	684
brunello_FKBP5_2	FKBP5	1493	1058
brunello_FKBP5_3	FKBP5	3421	3324
brunello_FKBP5_4	FKBP5	2242	2374
brunello_FLT1_1	FLT1	4685	3119
brunello_FLT1_2	FLT1	6208	6799
brunello_FLT1_3	FLT1	2757	2238
brunello_FLT1_4	FLT1	7053	8057
brunello_FMNL2_1	FMNL2	3307	1574
brunello_FMNL2_2	FMNL2	2733	3667
brunello_FMNL2_3	FMNL2	2727	3130
brunello_FMNL2_4	FMNL2	2647	3336
brunello_FN1_1	FN1	2202	3157
brunello_FN1_2	FN1	5017	4218
brunello_FN1_3	FN1	8543	8573
brunello_FN1_4	FN1	3079	3178
brunello_FNDC3B_1	FNDC3B	4121	3341
brunello_FNDC3B_2	FNDC3B	1875	2806
brunello_FNDC3B_3	FNDC3B	3873	4158
brunello_FNDC3B_4	FNDC3B	2939	2531
brunello_FNDC4_1	FNDC4	2975	4548
brunello_FNDC4_2	FNDC4	1437	1043
brunello_FNDC4_3	FNDC4	2615	2372
brunello_FNDC4_4	FNDC4	2383	1694
brunello_FNDC7_1	FNDC7	4381	4841
brunello_FNDC7_2	FNDC7	2530	2650
brunello_FNDC7_3	FNDC7	3001	3294
brunello_FNDC7_4	FNDC7	4704	6716
brunello_FOS_1	FOS	723	415
brunello_FOS_2	FOS	2673	1795
brunello_FOS_3	FOS	2272	1707
brunello_FOS_4	FOS	1762	2161
brunello_FOSB_1	FOSB	1508	1509
brunello_FOSB_2	FOSB	2339	1069
brunello_FOSB_3	FOSB	1315	1770
brunello_FOSB_4	FOSB	2617	1451
brunello_FOSL1_1	FOSL1	1332	751
brunello_FOSL1_2	FOSL1	5558	6469
brunello_FOSL1_3	FOSL1	3455	2667
brunello_FOSL1_4	FOSL1	2243	2924
brunello_FOSL2_1	FOSL2	3606	4875
brunello_FOSL2_2	FOSL2	2797	1585
brunello_FOSL2_3	FOSL2	2208	1746
brunello_FOSL2_4	FOSL2	6623	5962
brunello_FOXC1_1	FOXC1	5420	3923
brunello_FOXC1_2	FOXC1	1419	758
brunello_FOXC1_3	FOXC1	4115	3499
brunello_FOXC1_4	FOXC1	5095	6613
brunello_FPR1_1	FPR1	2453	1695
brunello_FPR1_2	FPR1	1655	1330
brunello_FPR1_3	FPR1	4986	5140
brunello_FPR1_4	FPR1	7981	5761
brunello_FPR2_1	FPR2	4067	5051
brunello_FPR2_2	FPR2	2313	2595
brunello_FPR2_3	FPR2	4333	4630
brunello_FPR2_4	FPR2	5609	3125
brunello_FPR3_1	FPR3	3028	4155
brunello_FPR3_2	FPR3	736	1491
